id,name_x,species,breed,type,danger_level_x,variety,hunter_id_x,terrain_name,name_y,level,experience,terrain_visited,total_animals_hunted,hunter_id_y,climate,danger_level_y,rarity_factor,description
1,Raven,Cheetah,Bengal,Omnivore,High,Rare,H097,Canyon,Dev,8,1256,Desert,9,9,Hot,Medium,1.4,Narrow passages with ambush threats
2,Gregory,Giraffe,Asian,Omnivore,High,Uncommon,H092,Desert,Tara,7,1246,Forest,6,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
3,James,Cheetah,Mountain,Predator,Medium,Rare,H016,Tundra,Dev,4,2499,Jungle,11,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
4,William,Tiger,African,Predator,Low,Uncommon,H097,Desert,Dev,8,1256,Desert,9,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
5,Brandy,Zebra,Sumatran,Herbivore,High,Common,H049,Desert,Zara,4,200,Forest,20,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
6,Allison,Cheetah,Bengal,Omnivore,Medium,Common,H061,Desert,Zara,10,2525,Volcano,27,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
7,Tracy,Tiger,Mountain,Predator,High,Rare,H060,Desert,Dev,3,1162,Mountain,50,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
8,Robert,Elephant,Indochinese,Omnivore,High,Uncommon,H086,Volcanic Zone,Zara,6,457,Ruins,32,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
9,Nicole,Elephant,Bengal,Predator,Medium,Rare,H100,Jungle,Nikhil,1,611,Ice Fields,48,1,Humid,High,1.5,Dense forest with dangerous wild predators
10,Jeffrey,Tiger,Sumatran,Herbivore,Low,Uncommon,H069,Canyon,Reva,7,321,Mountain,40,9,Hot,Medium,1.4,Narrow passages with ambush threats
11,Suzanne,Cheetah,Indochinese,Predator,Medium,Uncommon,H018,Savanna,Kaira,8,2257,Desert,22,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
12,Sonia,Giraffe,Snow,Predator,High,Common,H077,Mountains,Liam,7,1283,Swamp,42,5,Cold,Medium,1.3,Rocky regions with agile animals
13,Courtney,Wolf,Indian,Predator,Medium,Rare,H033,Tundra,Meera,9,761,Desert,50,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
14,Bradley,Cheetah,Siberian,Omnivore,Low,Uncommon,H095,Tundra,Tara,4,991,Mountain,41,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
15,Jacqueline,Bear,Indochinese,Predator,High,Rare,H091,Tundra,Reva,8,2781,Mountain,22,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
16,William,Leopard,Mountain,Predator,Low,Common,H066,Tundra,Dev,6,2668,Volcano,5,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
17,Ricky,Giraffe,Indian,Omnivore,Medium,Common,H036,Canyon,Dev,10,1402,Mountain,19,9,Hot,Medium,1.4,Narrow passages with ambush threats
18,Mary,Lion,Bengal,Herbivore,Low,Common,H002,Canyon,Liam,8,380,Forest,12,9,Hot,Medium,1.4,Narrow passages with ambush threats
19,Edward,Wolf,Siberian,Omnivore,Medium,Common,H021,Jungle,Reva,2,580,Desert,45,1,Humid,High,1.5,Dense forest with dangerous wild predators
20,Jeffrey,Lion,Snow,Omnivore,High,Rare,H015,Jungle,Dev,4,600,Jungle,19,1,Humid,High,1.5,Dense forest with dangerous wild predators
21,Juan,Tiger,Indian,Herbivore,Medium,Uncommon,H044,Forest,Arjun,7,1338,Ruins,10,3,Mild,Low,1.0,Balanced area with common animals
22,Todd,Leopard,Sumatran,Omnivore,Medium,Rare,H065,Tundra,Meera,8,206,Swamp,26,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
23,Allison,Tiger,Sumatran,Omnivore,Low,Rare,H032,Tundra,Zara,10,1525,Desert,15,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
24,Charlotte,Lion,Bengal,Predator,Medium,Uncommon,H041,Jungle,Liam,5,1059,Volcano,39,1,Humid,High,1.5,Dense forest with dangerous wild predators
25,Eric,Elephant,Sumatran,Predator,Medium,Uncommon,H095,Desert,Tara,4,991,Mountain,41,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
26,Deborah,Rhino,Asian,Herbivore,High,Uncommon,H037,Tundra,Tara,7,1073,Desert,36,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
27,Alexander,Rhino,Bengal,Herbivore,Low,Common,H091,Savanna,Reva,8,2781,Mountain,22,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
28,Jason,Rhino,Mountain,Herbivore,High,Common,H013,Forest,Arjun,3,2868,Canyon,26,3,Mild,Low,1.0,Balanced area with common animals
29,Holly,Leopard,Indochinese,Herbivore,Medium,Rare,H002,Volcanic Zone,Liam,8,380,Forest,12,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
30,Rodney,Zebra,Sumatran,Herbivore,Low,Common,H006,Forest,Arjun,3,2950,Ruins,45,3,Mild,Low,1.0,Balanced area with common animals
31,Julie,Bear,Mountain,Predator,Low,Uncommon,H040,Swamp,Ravi,1,850,Ruins,28,4,Wet,High,1.6,Murky lands with hidden threats
